title,date,doi,parent_doi,proceedings_doi,type
IODP Expedition 391 Thin section images,2023-10-11,https://doi.org/10.5281/zenodo.10206457,https://doi.org/10.5281/zenodo.10206456,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 391 P-wave velocity caliper (section/discrete),2023-10-11,https://doi.org/10.5281/zenodo.10210495,https://doi.org/10.5281/zenodo.10210494,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Carbonates composite report,2023-10-11,https://doi.org/10.5281/zenodo.10210606,https://doi.org/10.5281/zenodo.10210605,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Elemental analysis (CHNS),2023-10-11,https://doi.org/10.5281/zenodo.10210650,https://doi.org/10.5281/zenodo.10210649,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Closeup images,2023-10-11,https://doi.org/10.5281/zenodo.10210652,https://doi.org/10.5281/zenodo.10210651,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Core composite images,2023-10-11,https://doi.org/10.5281/zenodo.10210662,https://doi.org/10.5281/zenodo.10210661,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Core summary,2023-10-11,https://doi.org/10.5281/zenodo.10210666,https://doi.org/10.5281/zenodo.10210665,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Inorganic carbon (coulometer),2023-10-11,https://doi.org/10.5281/zenodo.10210670,https://doi.org/10.5281/zenodo.10210669,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Visual core description,2023-10-11,https://doi.org/10.5281/zenodo.10210672,https://doi.org/10.5281/zenodo.10210671,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Core drilling summary,2023-10-11,https://doi.org/10.5281/zenodo.10210676,https://doi.org/10.5281/zenodo.10210675,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Bulk Density (GRA),2023-10-11,https://doi.org/10.5281/zenodo.10210678,https://doi.org/10.5281/zenodo.10210677,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Hole drilling summary,2023-10-11,https://doi.org/10.5281/zenodo.10210682,https://doi.org/10.5281/zenodo.10210681,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Hole summary,2023-10-11,https://doi.org/10.5281/zenodo.10210686,https://doi.org/10.5281/zenodo.10210685,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T ICP-AES elemental analysis (solids),2023-10-11,https://doi.org/10.5281/zenodo.10210688,https://doi.org/10.5281/zenodo.10210687,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Section-half images,2023-10-11,https://doi.org/10.5281/zenodo.10210692,https://doi.org/10.5281/zenodo.10210691,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Moisture and Density,2023-10-11,https://doi.org/10.5281/zenodo.10210937,https://doi.org/10.5281/zenodo.10210936,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Photomicrographs,2023-10-11,https://doi.org/10.5281/zenodo.10210939,https://doi.org/10.5281/zenodo.10210938,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Magnetic susceptibility (whole round),2023-10-11,https://doi.org/10.5281/zenodo.10210947,https://doi.org/10.5281/zenodo.10210946,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Magnetic susceptibility (point or contact system),2023-10-11,https://doi.org/10.5281/zenodo.10210949,https://doi.org/10.5281/zenodo.10210948,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Natural gamma radiation,2023-10-11,https://doi.org/10.5281/zenodo.10210951,https://doi.org/10.5281/zenodo.10210950,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Rig instrumentation,2023-10-11,https://doi.org/10.5281/zenodo.10210953,https://doi.org/10.5281/zenodo.10210952,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Piece log,2023-10-11,https://doi.org/10.5281/zenodo.10210955,https://doi.org/10.5281/zenodo.10210954,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Laser height profile (section half),2023-10-11,https://doi.org/10.5281/zenodo.10210957,https://doi.org/10.5281/zenodo.10210956,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T P-wave velocity caliper (section/discrete),2023-10-11,https://doi.org/10.5281/zenodo.10210959,https://doi.org/10.5281/zenodo.10210958,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T RGB channels (calculated from core photos),2023-10-11,https://doi.org/10.5281/zenodo.10210962,https://doi.org/10.5281/zenodo.10210961,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Color reflectance,2023-10-11,https://doi.org/10.5281/zenodo.10210964,https://doi.org/10.5281/zenodo.10210963,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Sample report,2023-10-11,https://doi.org/10.5281/zenodo.10210966,https://doi.org/10.5281/zenodo.10210965,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Section summary,2023-10-11,https://doi.org/10.5281/zenodo.10210970,https://doi.org/10.5281/zenodo.10210969,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Magnetic remanence (spinner),2023-10-11,https://doi.org/10.5281/zenodo.10210975,https://doi.org/10.5281/zenodo.10210974,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Magnetic remanence (SRM-longcore),2023-10-11,https://doi.org/10.5281/zenodo.10210978,https://doi.org/10.5281/zenodo.10210977,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
